model,config,label,params,output_horizon,season,rmse,mae,mape,corr,features
xgboost,1,XGBOOST | Horizon=48 | Season=spring,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1}",48,spring,0.025784977068956983,0.016681028378706327,0.06977303002391501,0.7519414558595712,"['SWC_10', 'T_5']"
xgboost,1,XGBOOST | Horizon=72 | Season=spring,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1}",72,spring,0.029775567270051824,0.022155818586143874,0.09421285330721252,0.660631790037726,"['SWC_10', 'T_5']"
xgboost,1,XGBOOST | Horizon=168 | Season=spring,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1}",168,spring,0.03404796531685115,0.028275805423535954,0.1262536951861254,0.5299850138859811,"['SWC_10', 'T_5']"
xgboost,1,XGBOOST | Horizon=48 | Season=summer,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1}",48,summer,0.031915328782045616,0.019250683558055728,0.0930784546734592,0.6236246370968233,"['SWC_10', 'T_5']"
xgboost,1,XGBOOST | Horizon=72 | Season=summer,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1}",72,summer,0.03771267487719606,0.025985009237835113,0.1289446856957385,0.43579958266713414,"['SWC_10', 'T_5']"
xgboost,1,XGBOOST | Horizon=168 | Season=summer,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1}",168,summer,0.03533481867024586,0.02783127332036573,0.14778570842713576,0.47833383092749326,"['SWC_10', 'T_5']"
xgboost,1,XGBOOST | Horizon=48 | Season=fall,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1}",48,fall,0.02322129217136233,0.016258662408752036,0.1001244467259641,0.8305950471439396,"['SWC_10', 'T_5']"
xgboost,1,XGBOOST | Horizon=72 | Season=fall,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1}",72,fall,0.028935267835287805,0.02196659484134585,0.13779778140987375,0.7348397044750552,"['SWC_10', 'T_5']"
xgboost,1,XGBOOST | Horizon=168 | Season=fall,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1}",168,fall,0.035377815466143686,0.030505328857481723,0.19307813583785566,0.6065731404905423,"['SWC_10', 'T_5']"
xgboost,1,XGBOOST | Horizon=48 | Season=winter,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1}",48,winter,0.014990974460403319,0.007824616802556842,0.02805596255529691,0.5737573652352854,"['SWC_10', 'T_5']"
xgboost,1,XGBOOST | Horizon=72 | Season=winter,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1}",72,winter,0.016475519873973735,0.009823315051458186,0.03542394136984463,0.437435342859396,"['SWC_10', 'T_5']"
xgboost,1,XGBOOST | Horizon=168 | Season=winter,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1}",168,winter,0.015573985197478083,0.011775741195057834,0.043613410131859015,0.41625546592871254,"['SWC_10', 'T_5']"
cnn,1,CNN | Horizon=48 | Season=spring,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",48,spring,0.03745263009435816,0.023894753438588302,0.09900679063959823,0.5974628516701561,"['SWC_10', 'T_5']"
cnn,1,CNN | Horizon=72 | Season=spring,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",72,spring,0.063861733382396,0.044567319198432126,0.1954192724868446,0.4790473190619551,"['SWC_10', 'T_5']"
cnn,1,CNN | Horizon=168 | Season=spring,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",168,spring,0.04097300468474621,0.032121252469960754,0.15177104464792346,0.43129627262044506,"['SWC_10', 'T_5']"
cnn,1,CNN | Horizon=48 | Season=summer,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",48,summer,0.05705275506458286,0.04793980697054288,0.27298941610569044,0.15458105816194678,"['SWC_10', 'T_5']"
cnn,1,CNN | Horizon=72 | Season=summer,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",72,summer,0.15591754704049116,0.12843246318053367,0.7902527662390398,-0.6167032087057673,"['SWC_10', 'T_5']"
cnn,1,CNN | Horizon=168 | Season=summer,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",168,summer,0.0761960609361331,0.06320522232438491,0.3782378409972393,-0.3492016330636387,"['SWC_10', 'T_5']"
cnn,1,CNN | Horizon=48 | Season=fall,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",48,fall,0.09592850540578512,0.06941279591850995,0.4719409576555786,-0.36927783449762996,"['SWC_10', 'T_5']"
cnn,1,CNN | Horizon=72 | Season=fall,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",72,fall,0.03897713149438978,0.026857955874415005,0.16953162764681512,0.41291075963651663,"['SWC_10', 'T_5']"
cnn,1,CNN | Horizon=168 | Season=fall,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",168,fall,0.08507177465650664,0.06940984603866875,0.4499647590610893,0.4091322097856011,"['SWC_10', 'T_5']"
cnn,1,CNN | Horizon=48 | Season=winter,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",48,winter,0.015799963502973805,0.01046148594243854,0.038023594788069326,0.5948102151293853,"['SWC_10', 'T_5']"
cnn,1,CNN | Horizon=72 | Season=winter,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",72,winter,0.018465002202258756,0.013314724740409668,0.04858234742434874,0.46867291568126873,"['SWC_10', 'T_5']"
cnn,1,CNN | Horizon=168 | Season=winter,"{'filters': 64, 'kernel_size': 3, 'activation': 'relu', 'dense_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",168,winter,0.01785002465385636,0.013521850266555951,0.050265254278025896,0.44334098236393393,"['SWC_10', 'T_5']"
arima,1,ARIMA | Horizon=48 | Season=spring,"{'p': 1, 'd': 1, 'q': 1}",48,spring,0.05585658662932202,0.046966455452253045,0.23077194782356117,-0.006534522424410803,
arima,1,ARIMA | Horizon=72 | Season=spring,"{'p': 1, 'd': 1, 'q': 1}",72,spring,0.05585658662932202,0.046966455452253045,0.23077194782356117,-0.006534522424410803,
arima,1,ARIMA | Horizon=168 | Season=spring,"{'p': 1, 'd': 1, 'q': 1}",168,spring,0.05585658662932202,0.046966455452253045,0.23077194782356117,-0.006534522424410803,
arima,1,ARIMA | Horizon=48 | Season=summer,"{'p': 1, 'd': 1, 'q': 1}",48,summer,0.09186234291296985,0.08457151772380417,0.5035810999488173,-0.010456900520501829,
arima,1,ARIMA | Horizon=72 | Season=summer,"{'p': 1, 'd': 1, 'q': 1}",72,summer,0.09186234291296985,0.08457151772380417,0.5035810999488173,-0.010456900520501829,
arima,1,ARIMA | Horizon=168 | Season=summer,"{'p': 1, 'd': 1, 'q': 1}",168,summer,0.09186234291296985,0.08457151772380417,0.5035810999488173,-0.010456900520501829,
arima,1,ARIMA | Horizon=48 | Season=fall,"{'p': 1, 'd': 1, 'q': 1}",48,fall,0.10427147402510883,0.09737861834786896,0.6338411619952037,0.013951715542995815,
arima,1,ARIMA | Horizon=72 | Season=fall,"{'p': 1, 'd': 1, 'q': 1}",72,fall,0.10427147402510883,0.09737861834786896,0.6338411619952037,0.013951715542995815,
arima,1,ARIMA | Horizon=168 | Season=fall,"{'p': 1, 'd': 1, 'q': 1}",168,fall,0.10427147402510883,0.09737861834786896,0.6338411619952037,0.013951715542995815,
arima,1,ARIMA | Horizon=48 | Season=winter,"{'p': 1, 'd': 1, 'q': 1}",48,winter,0.020128492087231917,0.014356005325530654,0.057436169218821664,0.024973563655063872,
arima,1,ARIMA | Horizon=72 | Season=winter,"{'p': 1, 'd': 1, 'q': 1}",72,winter,0.020128492087231917,0.014356005325530654,0.057436169218821664,0.024973563655063872,
arima,1,ARIMA | Horizon=168 | Season=winter,"{'p': 1, 'd': 1, 'q': 1}",168,winter,0.020128492087231917,0.014356005325530654,0.057436169218821664,0.024973563655063872,



model,config,label,params,output_horizon,season,rmse,mae,mape,corr,features
arima,1,ARIMA | Horizon=48 | Season=spring,"{'d': 0, 'p': 1, 'q': 1}",48,spring,0.03748297491197039,0.0306922432615355,0.13702473201624257,0.13540065356344033,
arima,2,ARIMA | Horizon=48 | Season=spring,"{'d': 0, 'p': 1, 'q': 2}",48,spring,0.03765162077079351,0.030982784289863004,0.13843470005063838,0.1227097701578525,
arima,3,ARIMA | Horizon=48 | Season=spring,"{'d': 0, 'p': 2, 'q': 1}",48,spring,0.03761115179612573,0.030917145673970838,0.13811382034137695,0.1257184481379193,
arima,4,ARIMA | Horizon=48 | Season=spring,"{'d': 0, 'p': 2, 'q': 2}",48,spring,0.03776264499181974,0.031153597939057715,0.139275737461706,0.1145643263405548,
arima,5,ARIMA | Horizon=48 | Season=spring,"{'d': 1, 'p': 1, 'q': 1}",48,spring,0.05585658662932202,0.046966455452253045,0.23077194782356117,-0.006534522424410803,
arima,6,ARIMA | Horizon=48 | Season=spring,"{'d': 1, 'p': 1, 'q': 2}",48,spring,0.05585668121088869,0.046966542395566004,0.23077237763459227,-0.014029553956947497,
arima,7,ARIMA | Horizon=48 | Season=spring,"{'d': 1, 'p': 2, 'q': 1}",48,spring,0.05585661963027964,0.046966485507246386,0.23077209675265314,,
arima,8,ARIMA | Horizon=48 | Season=spring,"{'d': 1, 'p': 2, 'q': 2}",48,spring,0.05586123147688031,0.046970742507864614,0.23079312025752438,-0.02371987518795415,
arima,1,ARIMA | Horizon=72 | Season=spring,"{'d': 0, 'p': 1, 'q': 1}",72,spring,0.03748297491197039,0.0306922432615355,0.13702473201624257,0.13540065356344033,
arima,2,ARIMA | Horizon=72 | Season=spring,"{'d': 0, 'p': 1, 'q': 2}",72,spring,0.03765162077079351,0.030982784289863004,0.13843470005063838,0.1227097701578525,
arima,3,ARIMA | Horizon=72 | Season=spring,"{'d': 0, 'p': 2, 'q': 1}",72,spring,0.03761115179612573,0.030917145673970838,0.13811382034137695,0.1257184481379193,
arima,4,ARIMA | Horizon=72 | Season=spring,"{'d': 0, 'p': 2, 'q': 2}",72,spring,0.03776264499181974,0.031153597939057715,0.139275737461706,0.1145643263405548,
